 ,Raw EEG1,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG1,Raw EEG1,All 0.5-32Hz,Raw EEG1,Raw EEG1
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.690111804,6.14E-13,1.17E-12,5.89E-10,1.81E-11,51.42058701,3.319823329,6.73E-10,3.319823329, 
00:00:01,0.580696949,2.73E-12,2.19E-12,1.61E-10,1.06E-11,51.42052763,2.823500969,2.10E-10,2.823500969, 
00:00:02,0.542914129,2.96E-12,1.47E-11,6.68E-10,5.93E-11,50.36916831,2.815690646,9.22E-10,2.815690646, 
00:00:03,0.575282992,4.37E-12,7.21E-12,4.41E-10,2.07E-11,49.38009823,2.298789519,4.57E-10,2.298789519, 
00:00:04,0.665716895,4.10E-12,1.62E-11,4.65E-09,7.08E-11,3.563146532,1.832398007,4.77E-09,1.832398007, 
00:00:05,0.773400857,1.12E-11,2.75E-11,4.11E-10,7.91E-11,18.24487188,2.97135457,9.60E-10,2.97135457,15:22:20
00:00:06,0.839085245,1.63E-11,1.30E-11,3.36E-08,2.69E-10,3.084337364,1.608192748,3.04E-08,1.608192748,15:22:20
00:00:07,0.628153946,2.87E-12,1.81E-12,2.81E-10,6.42E-12,5.428625047,1.661605012,7.03E-11,1.661605012,15:22:20
00:00:08,0.559958046,7.37E-12,4.40E-11,2.39E-09,3.77E-10,6.861439206,2.705985736,3.88E-09,2.705985736,15:22:20
00:00:09,0.49083898,4.40E-12,4.61E-12,1.53E-09,1.06E-10,5.791288738,2.250070122,2.50E-09,2.250070122,15:22:20
00:00:10,0.432392811,1.26E-11,7.86E-12,1.23E-09,9.73E-11,6.757563498,2.631829344,1.28E-09,2.631829344,15:22:20
00:00:11,0.351692134,7.29E-12,1.26E-11,8.36E-11,6.93E-11,50.19595381,4.340441468,3.51E-10,4.340441468,15:22:20
00:00:12,0.292864678,5.35E-11,1.60E-10,1.22E-09,1.03E-09,10.1467716,4.412496056,4.19E-09,4.412496056,15:22:20
00:00:13,0.224002767,1.48E-12,8.49E-13,2.48E-11,1.05E-11,44.49273266,1.866373195,5.42E-11,1.866373195,15:22:20
00:00:14,0.186879753,1.41E-12,1.13E-12,3.35E-11,5.32E-12,50.7431673,1.94433328,3.80E-11,1.94433328,15:22:20
00:00:15,0.138414901,6.06E-12,1.04E-11,3.43E-10,2.73E-11,50.97966311,2.454155628,2.95E-10,2.454155628,15:22:20
00:00:16,0.112923863,2.02E-11,1.27E-11,2.13E-09,1.40E-10,6.746832518,1.830444478,1.43E-09,1.830444478,15:22:20
00:00:17,0.162100608,2.11E-10,4.85E-10,3.67E-08,3.66E-09,6.821502836,2.459863909,3.82E-08,2.459863909,15:22:20
00:00:18,1.160106829,5.78E-10,4.55E-10,1.46E-07,2.14E-09,4.121576623,1.232429524,8.48E-08,1.232429524,15:22:20
00:00:19,0.154215693,4.05E-11,1.35E-10,2.11E-08,5.73E-10,4.623913303,1.65222935,1.02E-08,1.65222935,15:22:20
00:00:20,0.22798893,1.83E-09,5.76E-10,3.24E-08,4.83E-09,14.75246947,2.685127144,4.90E-08,2.685127144,15:22:20
00:00:21,0.193803094,1.58E-10,1.82E-10,8.51E-09,9.59E-10,8.533330414,2.814374874,1.22E-08,2.814374874,15:22:20
00:00:22,0.192395113,2.62E-11,3.07E-10,2.43E-09,1.20E-09,50.25433406,4.68986308,5.27E-09,4.68986308,15:22:20
00:00:23,0.076835129,8.46E-12,1.76E-11,8.37E-10,1.02E-11,25.86269844,1.805676251,2.01E-10,1.805676251,15:22:20
