 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.056434959,1.09E-12,3.76E-13,4.54E-11,1.26E-11,50.01506597,2.763659046,1.02E-10,2.457979791,restarted as needle put back in 
00:00:01,0.093319662,1.04E-12,7.81E-13,2.80E-11,8.05E-12,10.67347058,1.678510528,8.44E-11,1.820374237,restarted as needle put back in 
00:00:02,0.051400787,1.00E-12,9.82E-13,1.69E-10,7.31E-12,3.140126916,1.602470386,4.73E-10,1.637042816,restarted as needle put back in 
00:00:03,0.08065079,8.57E-13,1.11E-12,5.46E-11,5.33E-12,4.491175544,1.887205887,9.72E-11,1.913475631,restarted as needle put back in 
00:00:04,0.105862535,7.68E-13,6.16E-13,8.36E-11,3.58E-12,3.853265318,2.388263411,1.51E-10,2.393971692,In recovery
00:00:05,0.143081407,4.36E-13,6.09E-13,5.09E-11,7.92E-12,4.751340046,1.699854182,1.56E-10,1.692439553,In recovery
00:00:06,0.155267744,9.70E-13,1.26E-12,9.36E-11,7.96E-12,4.565695735,1.450215349,1.84E-10,1.739882142,In recovery
00:00:07,0.132565092,1.15E-12,1.61E-12,3.20E-10,1.28E-11,4.000099955,1.508076662,7.41E-10,1.732880788,In recovery
00:00:08,0.133067051,8.46E-13,9.43E-13,8.80E-11,5.11E-12,2.972496226,1.494688478,4.47E-10,1.531537607,In recovery
00:00:09,0.091962715,1.17E-12,5.19E-13,1.91E-10,5.79E-12,4.024956317,1.822105997,2.81E-10,1.922418905,12:47:40
00:00:10,0.11468931,6.60E-13,4.22E-13,1.46E-10,9.62E-12,5.78272575,2.744490654,3.16E-10,2.711949933,12:47:40
00:00:11,0.084926105,3.43E-13,4.71E-13,3.13E-10,8.08E-12,2.91515912,1.632204077,9.68E-10,1.793912922,12:47:40
00:00:12,0.086508076,3.22E-13,5.70E-13,1.07E-10,3.77E-12,3.268630041,1.713450937,3.27E-10,1.69752438,12:47:40
00:00:13,0.116697814,2.38E-13,6.63E-13,1.54E-10,4.75E-12,2.75660529,1.598463586,6.61E-10,1.592878055,12:47:40
00:00:14,0.121065986,3.95E-13,7.45E-13,5.25E-10,8.14E-12,2.796481044,1.534232401,1.85E-09,1.704020807,12:47:40
00:00:15,0.129510109,5.90E-13,4.90E-13,2.19E-10,5.90E-12,2.841645816,1.586988294,1.09E-09,1.586360387,12:47:40
00:00:16,0.154791293,2.56E-13,1.33E-13,2.55E-11,1.05E-12,2.819121158,1.052222235,5.25E-11,1.536009117,12:47:40
00:00:17,0.085595213,4.97E-13,2.02E-13,3.26E-11,9.05E-12,3.872989746,1.524242975,2.10E-10,1.527495898,12:47:40
00:00:18,0.080315846,2.39E-13,1.88E-13,2.35E-11,5.83E-13,1.93952752,1.073435008,2.03E-10,1.495055915,12:47:40
00:00:19,0.102754982,4.09E-13,1.84E-13,1.05E-10,2.29E-12,3.778943306,1.731286994,1.27E-10,2.234248972,12:47:40
00:00:20,0.108674864,4.79E-13,8.48E-13,6.27E-11,8.80E-12,4.737062831,1.458105348,1.67E-10,1.680227423,12:47:40
00:00:21,0.112255441,3.83E-13,3.38E-13,8.16E-11,1.33E-12,3.036169995,1.40040353,5.79E-11,1.846591132,12:47:40
00:00:22,0.038629605,5.41E-13,7.50E-13,4.25E-11,9.54E-12,4.392345342,1.382791116,1.86E-10,1.682569389,12:47:40
