 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.464540526,3.03E-11,8.52E-11,8.94E-08,1.69E-09,51.28037698,2.149718294,1.18E-07,1.778963988, 
00:00:01,1.677528351,1.26E-08,1.38E-08,1.29E-07,2.82E-08,20.51268839,1.126352586,2.22E-07,1.813100008,0 deg
00:00:02,6.762406214,1.63E-06,9.73E-07,1.51E-05,1.68E-06,52.94956166,3.588341996,3.04E-05,2.539479425, 
00:00:03,4.752965385,1.18E-07,8.28E-08,3.24E-06,2.44E-07,51.15567367,2.02386256,6.24E-06,1.799414534, 
00:00:04,1.630080324,1.73E-11,3.92E-11,7.52E-09,1.74E-10,51.65148852,50.53323577,1.36E-08,1.668781387, 
00:00:05,1.864665882,5.24E-08,1.67E-08,3.93E-08,2.17E-08,51.34760419,12.56033364,2.46E-07,6.987531814, 
00:00:06,5.560982004,1.27E-09,3.72E-10,1.23E-08,7.05E-10,51.63004373,50.51757473,1.62E-08,16.99889767, 
00:00:07,2.554051265,6.87E-10,7.16E-11,1.21E-10,9.35E-11,51.63350579,50.5283187,1.36E-09,15.09904891, 
00:00:08,1.139124114,4.91E-10,3.65E-11,3.97E-10,3.58E-11,51.62223179,50.49671905,1.74E-09,1.815253292, 
00:00:09,1.305549184,2.89E-09,6.17E-10,9.05E-09,1.39E-09,51.7553046,50.54238871,1.85E-08,1.896232175, 
00:00:10,0.277768689,8.81E-10,5.86E-11,1.42E-09,7.87E-11,51.93524576,50.83587975,1.82E-09,16.83999779, 
00:00:11,0.192690216,9.50E-10,1.68E-11,6.18E-10,1.09E-11,51.69323798,50.55328625,2.22E-09,16.52122532, 
00:00:12,5.426770133,3.33E-07,7.67E-08,2.52E-06,2.81E-07,52.32504072,50.22974271,5.54E-06,2.028085345, 
00:00:13,6.945026804,1.03E-06,5.86E-07,1.30E-05,2.86E-06,51.41359637,4.813516218,2.78E-05,3.535044106, 
00:00:14,2.152288392,3.55E-07,1.39E-07,1.42E-07,9.76E-08,52.10965451,50.31577157,8.99E-07,12.10711564, 
00:00:15,0.594856096,1.06E-11,1.71E-11,4.31E-09,1.07E-10,51.62977629,50.49933507,1.13E-08,1.851024769, 
00:00:16,0.354338052,1.26E-12,1.40E-12,1.17E-10,7.52E-12,51.62787817,50.48869605,6.22E-10,1.57310785, 
00:00:17,0.254076082,2.72E-10,1.75E-10,8.09E-10,1.57E-10,51.60727135,50.02114297,3.18E-09,1.996261169, 
00:00:18,0.075226587,6.94E-12,1.28E-11,6.45E-11,5.18E-11,51.63250403,50.20039464,5.09E-10,4.883405895, 
00:00:19,0.255908772,3.22E-11,4.11E-10,1.53E-08,1.02E-09,50.14955594,1.883889391,3.47E-08,1.851553926, 
00:00:20,0.088755454,8.40E-12,1.36E-11,1.31E-10,4.58E-11,51.57623216,50.11045684,6.18E-10,3.650994611, 
00:00:21,0.102852007,1.05E-11,2.39E-11,4.80E-11,3.43E-11,51.36424288,5.92784838,2.33E-10,4.163183991, 
00:00:22,0.151012703,1.04E-10,2.47E-10,1.26E-09,9.99E-10,12.89864595,3.789312149,4.55E-09,3.765688494, 
00:00:23,0.088222893,1.27E-11,3.13E-11,5.27E-10,1.89E-10,8.661643534,3.656905946,1.23E-09,3.668726336, 
00:00:24,0.374285043,7.76E-09,1.40E-08,7.83E-09,4.61E-08,16.18677642,6.711338732,1.30E-07,6.710702783, 
