 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.435321092,1.05E-10,1.48E-10,1.80E-08,2.14E-10,51.41742128,49.84820166,2.01E-08,1.637642799, 
00:00:01,0.567651573,1.66E-11,1.55E-11,2.93E-09,9.47E-11,50.63068543,1.660029852,3.51E-08,1.514328913, 
00:00:02,0.534569476,4.06E-11,1.04E-10,2.04E-08,1.53E-09,6.973179005,1.787810606,6.28E-08,1.845971261, 
00:00:03,0.184115177,5.59E-12,5.19E-12,1.71E-10,3.73E-11,50.77256341,1.643055813,3.56E-10,1.503287531, 
00:00:04,0.134035357,2.75E-11,9.76E-12,3.39E-11,2.15E-11,50.78104852,1.844202499,1.52E-10,1.792129744, 
00:00:05,0.046204928,4.83E-12,4.05E-12,7.02E-10,8.66E-12,3.190472072,1.747292663,1.56E-09,1.799905503, 
00:00:06,0.148365532,2.40E-12,6.24E-13,9.16E-11,5.68E-12,2.541460556,1.506307005,6.50E-10,1.508326744, 
00:00:07,0.187424314,1.67E-12,5.74E-13,8.94E-11,5.27E-12,2.804194475,1.549156298,5.14E-10,1.545410895, 
00:00:08,0.059694626,2.21E-12,1.81E-12,1.32E-11,3.17E-12,51.02667354,2.47874283,3.52E-11,1.807620965, 
00:00:09,0.060496525,6.68E-12,2.11E-12,4.76E-12,3.69E-12,53.4452837,50.68271945,2.32E-11,6.799688585, 
00:00:10,0.066276257,2.01E-12,7.71E-13,2.76E-11,4.10E-12,51.54560661,50.35382409,4.67E-11,3.328019256, 
00:00:11,0.035640409,8.49E-13,2.51E-12,1.83E-11,2.57E-12,51.53701202,50.31035109,6.40E-11,1.71833069, 
00:00:12,0.03235081,5.71E-12,6.14E-13,7.20E-12,2.48E-12,52.65494659,49.93608703,2.27E-11,3.803516794,10:20:10
00:00:13,0.020444764,1.19E-12,1.54E-12,1.26E-11,2.63E-12,51.46908305,50.18372746,3.24E-11,2.983543349,10:20:10
00:00:14,0.021772359,9.28E-13,9.23E-13,1.75E-11,2.10E-12,51.21366255,48.27240087,2.63E-11,3.086534759,10:20:10
00:00:15,0.017640006,1.60E-12,1.93E-12,1.31E-11,3.40E-12,50.82758713,3.903799989,3.23E-11,3.666158261,10:20:10
00:00:16,0.016924018,1.01E-12,6.13E-13,2.60E-12,3.00E-12,51.67940697,17.50652602,1.14E-11,4.863334673,10:20:10
00:00:17,0.04561904,1.56E-12,2.90E-12,2.78E-11,7.32E-12,51.57829789,50.35743152,6.21E-11,3.758791052,10:20:10
00:00:18,0.044224874,4.77E-12,9.15E-12,3.85E-10,3.98E-11,50.94098537,1.77847359,9.73E-10,1.704200077,10:20:10
00:00:19,0.017386533,5.57E-12,1.43E-12,4.98E-11,2.97E-11,51.28036551,5.611863444,1.51E-10,4.229414057,10:20:10
00:00:20,0.037247277,6.35E-11,1.71E-11,2.55E-10,1.03E-10,24.25760643,3.766441142,6.55E-10,4.038822896,10:20:10
00:00:21,0.037472344,1.02E-12,5.38E-13,3.24E-11,2.84E-12,49.52776724,1.916755575,5.04E-11,1.853140935,10:20:10
00:00:22,0.045863508,7.65E-12,1.36E-12,7.35E-12,2.63E-12,52.32779455,50.11928799,3.61E-11,1.722787378,10:20:10
00:00:23,0.037263916,1.23E-12,1.38E-12,2.06E-12,7.71E-13,51.55461823,50.36434428,1.30E-11,2.868336392,10:20:10
