 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.623722872,3.81E-12,4.94E-13,3.09E-09,1.78E-12,2.117448041,1.395297912,3.03E-09,1.493250979, 
00:00:01,0.831591294,4.73E-11,2.47E-11,1.16E-09,7.29E-11,48.43264211,1.463029618,4.82E-09,1.657507388, 
00:00:02,0.649690102,4.74E-11,1.38E-10,3.30E-08,1.14E-09,3.329980554,1.281347196,9.50E-08,1.553408643, 
00:00:03,0.664501267,8.95E-12,2.32E-12,4.09E-09,2.12E-11,2.628256091,1.542075641,3.73E-08,1.530978514, 
00:00:04,0.483284557,1.42E-11,1.36E-11,6.30E-10,1.11E-10,2.901172074,1.477902402,4.19E-09,1.561148779, 
00:00:05,0.331659247,1.88E-11,2.60E-11,2.41E-09,1.85E-10,50.47651275,1.486934263,1.55E-09,1.502978828, 
00:00:06,0.143069578,8.54E-12,1.52E-11,2.41E-09,2.02E-10,50.69347407,1.598154839,1.27E-08,1.731992504, 
00:00:07,0.40612385,4.87E-12,3.60E-12,2.43E-09,4.05E-11,2.860052904,1.481985278,1.13E-08,1.607655516, 
00:00:08,0.308216943,3.73E-12,1.83E-12,1.12E-09,6.59E-12,2.549202049,1.492672711,7.57E-09,1.52361906, 
00:00:09,0.61991293,3.00E-12,4.40E-13,1.77E-10,3.77E-12,2.780532393,1.472284349,3.79E-10,1.57237268, 
00:00:10,0.60756579,2.83E-12,4.14E-13,2.42E-11,1.03E-12,49.94526201,1.65213407,1.08E-10,1.952420153, 
00:00:11,0.61948583,2.15E-12,2.03E-12,6.03E-10,1.92E-11,2.929325372,1.409173596,1.48E-09,1.675557813, 
00:00:12,0.557008898,4.02E-12,8.48E-13,3.11E-11,1.11E-12,23.40232092,1.716310799,7.84E-11,1.772845002, 
00:00:13,0.580798826,3.90E-12,1.01E-12,2.22E-10,6.71E-12,2.538898264,1.318380936,1.04E-09,1.535999994, 
00:00:14,0.377907669,3.05E-12,1.51E-12,3.35E-11,1.76E-12,35.43361894,0.951057602,3.62E-10,1.85657343, 
00:00:15,0.306710749,2.06E-12,2.59E-12,2.76E-11,6.86E-12,48.56148541,1.704742742,6.06E-11,1.724742502, 
00:00:16,0.518945028,2.41E-12,6.07E-13,1.80E-10,7.96E-12,2.543726942,1.326188751,6.79E-10,1.519454447, 
00:00:17,0.609577272,4.99E-12,2.02E-12,3.71E-12,1.43E-12,50.21031895,1.388269155,4.05E-11,1.566207882, 
00:00:18,0.675028439,6.05E-12,1.47E-12,1.75E-11,4.27E-12,2.908039357,1.081203962,1.25E-10,1.527024855, 
00:00:19,0.588688751,2.64E-12,3.44E-13,5.41E-12,1.23E-12,51.64176901,1.392810593,6.01E-11,1.48389186, 
00:00:20,0.459402606,3.81E-12,1.79E-12,1.01E-10,1.64E-11,16.96067754,1.632784632,6.13E-10,1.746244621, 
00:00:21,0.527433057,7.00E-12,1.14E-11,3.37E-10,3.54E-11,23.06183269,1.886935107,9.24E-10,1.968071307, 
00:00:22,0.48063683,2.60E-12,4.08E-13,4.42E-12,9.48E-13,31.36635608,1.351125692,2.08E-11,1.517196837, 
00:00:23,0.426985935,3.71E-12,1.97E-12,4.03E-11,5.24E-12,51.51356865,1.712626336,1.06E-10,1.660889983, 
00:00:24,0.374238004,4.06E-12,4.48E-13,2.31E-12,9.34E-13,52.07785208,49.10498691,1.43E-11,1.612959085, 
