 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.428763175,1.22E-12,1.23E-12,1.78E-11,6.38E-13,51.35871362,1.255857481,2.30E-11,1.528468061,Animal in Recovery 13:43:53
00:00:01,0.398973608,1.31E-12,2.11E-13,3.33E-12,4.26E-13,58.68782058,0.90908406,2.83E-11,2.597876326,Animal in Recovery 13:43:53
00:00:02,0.422432058,4.67E-12,1.22E-12,2.34E-12,5.75E-12,30.72266183,1.409729389,2.53E-11,1.652608204,Animal in Recovery 13:43:53
00:00:03,0.471970936,1.09E-12,6.84E-13,7.49E-12,9.37E-13,4.7824511,0.839443229,2.74E-11,1.566768047,Animal in Recovery 13:43:53
00:00:04,0.503426677,1.05E-12,2.45E-13,4.91E-13,3.66E-13,1.910683493,0.864711144,3.35E-12,1.482672468,Animal in Recovery 13:43:53
00:00:05,0.530102715,8.18E-13,2.76E-13,7.45E-12,2.00E-13,2.172320523,1.192718756,1.95E-11,1.506359312,Animal in Recovery 13:43:53
00:00:06,0.582494284,9.55E-13,2.35E-13,3.31E-12,1.86E-13,1.896888116,0.937991554,1.51E-11,1.478385806,Animal in Recovery 13:43:53
00:00:07,0.674682187,1.18E-12,8.85E-14,1.38E-12,8.31E-14,2.187486374,1.384220916,4.94E-12,1.498649282,Animal in Recovery 13:43:53
00:00:08,0.906837015,6.91E-13,1.04E-13,1.25E-12,6.62E-14,2.140851102,1.459133675,4.43E-12,1.492487506,Animal in Recovery 13:43:53
00:00:09,1.383702758,6.76E-13,1.92E-13,2.44E-11,1.11E-12,2.342473647,1.490930789,5.69E-11,1.503766349,Animal in Recovery 13:43:53
00:00:10,2.141936158,5.72E-12,1.19E-12,7.35E-12,1.48E-12,2.046418246,1.418397534,6.62E-11,1.491549932,Animal in Recovery 13:43:53
00:00:11,2.781827206,7.88E-13,3.27E-13,9.40E-12,1.24E-13,1.931371035,1.240942949,4.65E-11,1.486344469,Animal in Recovery 13:43:53
00:00:12,3.030442187,5.24E-13,3.59E-13,6.88E-12,1.63E-13,1.83272719,0.794057714,3.79E-11,1.462281361,Animal in Recovery 13:43:53
00:00:13,3.028223358,4.74E-13,2.18E-13,1.02E-12,8.32E-14,1.829248027,0.783112933,5.82E-12,1.46189012,Animal in Recovery 13:43:53
00:00:14,2.821105752,6.73E-13,4.22E-13,2.69E-12,5.99E-14,1.921730312,1.181628269,1.93E-11,1.484274242,Animal in Recovery 13:43:53
00:00:15,2.232328298,5.61E-13,4.94E-13,2.19E-12,2.51E-13,2.028317231,1.412119583,5.19E-11,1.491538913,Animal in Recovery 13:43:53
00:00:16,1.32311672,8.78E-13,5.12E-13,1.84E-10,1.88E-12,2.327680386,1.490770601,1.20E-09,1.502190193,Animal in Recovery 13:43:53
00:00:17,0.33335087,1.55E-12,4.67E-13,1.81E-12,4.69E-13,2.245579894,1.496073568,9.83E-12,1.495852856,Animal in Recovery 13:43:53
00:00:18,0.905852625,1.49E-12,2.56E-13,3.14E-12,3.02E-13,2.139330273,1.457063473,1.75E-11,1.492870853,Animal in Recovery 13:43:53
00:00:19,1.274634718,4.11E-13,5.14E-13,3.83E-12,1.28E-13,1.934026148,1.200185088,8.41E-12,1.489640223,Animal in Recovery 13:43:53
00:00:20,1.369053695,9.86E-13,2.35E-13,1.68E-12,8.08E-14,1.84315461,0.798697568,4.67E-12,1.466328653,Animal in Recovery 13:43:53
