 ,Raw EEG2,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG2,Raw EEG2,All 0.5-32Hz,Raw EEG2,Raw EEG2
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00.0,0.269063015,2.41E-12,5.24E-12,6.17E-10,3.65E-11,3.407835262,1.496268093,1.71E-09,1.796133762,616 back in recovery
00:00.5,0.242639601,1.35E-11,1.76E-11,1.22E-09,7.21E-11,4.065284833,1.868855201,3.70E-09,2.143044596,616 back in recovery
00:01.0,0.006831512,1.54E-12,1.61E-12,1.18E-11,9.43E-12,51.11056489,7.357878985,3.00E-10,7.01717095,616 back in recovery
00:01.5,0.02575205,9.45E-13,1.35E-12,1.05E-10,1.08E-11,6.172607408,2.970105158,2.72E-10,2.967447106,616 back in recovery
00:02.0,0.036352215,4.92E-13,2.27E-12,2.30E-10,1.67E-11,4.853760898,2.886442595,2.10E-09,2.891739818,616 back in recovery
00:02.5,0.104165307,2.65E-12,1.52E-11,9.84E-09,2.45E-11,3.594656592,1.627501259,1.85E-08,1.900946102,616 back in recovery
00:03.0,2.180256811,1.55E-08,8.65E-08,6.49E-07,4.41E-08,9.494371767,1.91182159,1.54E-06,2.247363914,616 back in recovery
00:03.5,0.375171575,2.89E-11,2.36E-11,1.56E-09,2.14E-10,3.773861487,1.683962633,4.95E-08,1.954858916,616 back in recovery
00:04.0,0.233489607,1.98E-13,5.17E-13,5.53E-11,7.84E-12,3.248203897,1.496846367,9.16E-10,1.787452553,616 back in recovery
00:04.5,0.047059056,1.56E-13,1.28E-13,7.08E-11,1.24E-12,3.870991617,1.555768092,5.51E-10,1.814651323,616 back in recovery
00:05.0,0.047096708,4.63E-13,2.08E-12,5.88E-11,2.42E-12,48.95955452,1.443996645,1.49E-10,1.727489426,616 back in recovery
00:05.5,0.114231694,4.11E-13,2.03E-13,3.27E-11,3.59E-13,3.138957251,1.438647637,8.85E-11,1.744009613,616 back in recovery
00:06.0,0.152153369,8.63E-13,1.46E-13,3.94E-12,7.62E-13,2.830383351,1.350929102,1.92E-11,1.671774887,616 back in recovery
00:06.5,0.152600399,5.38E-14,2.31E-14,1.53E-11,1.06E-12,2.810339539,1.342327967,3.90E-11,1.666183158,616 back in recovery
00:07.0,0.123795375,1.09E-12,9.79E-13,3.17E-11,1.41E-12,2.899324237,1.365856761,9.00E-11,1.680524629,616 back in recovery
00:07.5,0.173719357,3.09E-13,1.85E-13,5.94E-11,4.54E-13,2.852417378,1.369576261,1.92E-10,1.687608117,616 back in recovery
00:08.0,0.142442124,1.72E-13,3.47E-14,3.30E-13,2.45E-13,2.790081027,1.333450165,6.61E-12,1.659443441,616 back in recovery
00:08.5,0.126523304,1.19E-13,7.12E-14,2.89E-13,2.29E-13,2.802640054,1.341415827,3.41E-12,1.666979265,616 back in recovery
00:09.0,0.109111326,1.31E-13,1.25E-13,1.04E-12,4.49E-13,2.807844856,1.34240961,5.43E-12,1.668417251,616 back in recovery
00:09.5,0.077699808,1.33E-13,5.65E-14,8.39E-11,2.02E-12,2.901439008,1.214562447,2.15E-10,1.591820989,616 back in recovery
00:10.0,0.094659991,1.79E-13,2.23E-13,3.22E-12,6.17E-13,2.773627849,1.323173937,6.79E-12,1.652623874,616 back in recovery
00:10.5,0.081348935,8.12E-14,3.07E-14,1.54E-12,1.30E-13,2.789811085,1.334995222,9.99E-13,1.662050105,616 back in recovery
00:11.0,0.054439705,6.02E-14,2.75E-13,8.19E-11,2.93E-12,3.648667278,1.610841053,1.14E-10,1.889994746,616 back in recovery
