 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00.0,5.539419585,1.90E-15,5.62E-16,2.87E-12,4.55E-16,2.782355887,1.334262274,7.54E-09,1.662052383, 
00:00:00.5,5.575687048,5.56E-16,1.19E-17,1.17E-12,1.70E-16,2.782341967,1.334242564,7.63E-09,1.662041193, 
00:00:01.0,5.551279161,2.11E-13,6.60E-13,2.92E-10,8.05E-12,2.786470697,1.336672753,9.14E-09,1.663874542, 
00:00:01.5,5.282384337,8.88E-16,2.59E-16,3.78E-11,3.00E-14,2.781094944,1.333497321,5.06E-10,1.66148012, 
00:00:02.0,5.116981112,7.82E-16,1.18E-16,1.73E-12,5.24E-15,2.781787731,1.333916929,7.45E-11,1.661795197, 
00:00:02.5,5.052461747,5.18E-16,1.93E-16,3.30E-13,1.12E-15,2.782080636,1.334091407,1.22E-11,1.661926427, 
00:00:03.0,5.027525598,1.30E-15,1.34E-16,2.53E-13,1.01E-16,2.782252623,1.334190539,1.08E-10,1.662001828, 
00:00:03.5,5.017761152,6.96E-15,2.05E-14,4.08E-10,3.07E-13,2.782294729,1.33421574,5.10E-09,1.662020701, 
00:00:04.0,4.152193149,3.95E-12,3.51E-12,2.90E-09,4.31E-11,2.806427029,1.344508403,8.14E-09,1.669805331, 
00:00:04.5,2.61674495,9.05E-12,3.08E-12,1.98E-10,1.15E-11,2.809332999,1.344787641,1.76E-09,1.669798829, 
00:00:05.0,1.470618933,5.08E-12,8.43E-12,1.38E-09,4.19E-11,2.804367412,1.339355856,5.62E-09,1.664879897, 
00:00:05.5,0.865515195,3.86E-12,4.42E-12,3.65E-10,5.14E-11,2.825179278,1.343336903,2.05E-09,1.669026536,1
00:00:06.0,0.828873396,1.03E-11,1.17E-11,3.20E-10,7.61E-11,2.788001664,1.332177489,1.04E-09,1.660012576,1
00:00:06.5,0.637906179,4.34E-12,2.68E-11,2.20E-09,3.03E-10,2.856981775,1.288328709,4.84E-09,1.635603595,1
00:00:07.0,0.584796432,9.65E-12,1.50E-11,1.24E-10,6.00E-11,2.856907136,1.36682091,3.49E-10,1.688577322,1
00:00:07.5,0.545593473,8.24E-12,5.52E-12,4.34E-10,1.33E-11,2.817324676,1.34411724,6.01E-10,1.670957115,1
00:00:08.0,0.543845224,1.83E-12,1.43E-12,8.12E-10,2.14E-11,2.843342966,1.371174278,1.28E-09,1.690184223,1
00:00:08.5,0.470051655,7.96E-13,4.14E-12,3.28E-10,4.57E-12,2.848616421,1.369754364,6.73E-10,1.690191045,1
00:00:09.0,0.412985109,1.89E-12,1.45E-11,8.97E-11,1.67E-12,2.796437977,1.335575337,1.87E-10,1.663861614,1
00:00:09.5,0.289945648,8.55E-12,4.18E-11,1.62E-09,6.37E-11,4.787397593,1.256685775,3.91E-09,1.644975822,1
00:00:10.0,0.363667166,1.19E-11,6.21E-11,4.16E-10,2.59E-10,3.230848725,1.38496201,1.14E-09,1.707530204,1
00:00:10.5,0.39942082,5.14E-11,1.91E-10,1.41E-10,3.04E-10,3.495979134,1.368721031,9.72E-10,1.692592643,1
00:00:11.0,0.463886291,5.60E-13,7.82E-13,4.74E-11,1.78E-11,2.763488358,1.318220259,7.03E-11,1.648605097,1
00:00:11.5,0.385184792,4.52E-13,4.41E-13,1.93E-11,4.55E-12,2.777237638,1.328426249,4.94E-11,1.656318704,1
