 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.501045077,1.45E-11,2.00E-13,1.56E-11,2.22E-12,51.88232798,50.57636463,3.59E-11,1.552918506, 
00:00:01,0.368518619,7.98E-12,7.95E-13,6.08E-11,3.49E-12,51.68415255,50.51584905,6.98E-10,1.529355946, 
00:00:02,0.219228304,7.78E-12,1.23E-12,9.85E-11,3.75E-12,51.70081242,50.49816712,3.29E-10,1.723958827, 
00:00:03,0.252865722,8.05E-12,1.57E-12,2.38E-12,1.52E-12,56.75387145,50.51716326,3.91E-11,1.517706939, 
00:00:04,0.352204699,4.49E-12,2.61E-12,5.26E-12,2.16E-12,151.8350074,50.48236951,1.76E-11,1.510617852, 
00:00:05,0.440254662,6.76E-12,1.13E-12,2.63E-12,4.01E-12,251.7031988,50.51643261,2.49E-11,1.565757547, 
00:00:06,0.438978518,8.56E-12,7.54E-13,7.91E-12,8.98E-13,260.959187,50.62765255,3.60E-11,1.553914384, 
00:00:07,0.367819531,1.00E-11,1.00E-12,4.38E-12,1.78E-12,272.3811657,50.53543669,3.13E-11,1.531101991, 
00:00:08,0.287332002,1.22E-11,5.43E-13,1.33E-11,1.39E-12,251.3625787,50.63159384,4.01E-11,1.578162748, 
00:00:09,0.198254624,8.57E-12,6.65E-13,3.93E-12,1.85E-12,275.7014271,50.88115782,1.98E-11,1.574672965, 
00:00:10,0.133434985,9.85E-12,1.89E-12,4.77E-12,2.01E-12,300.2357208,51.19624541,3.02E-11,3.177267307, 
00:00:11,0.101172271,1.51E-11,2.93E-12,1.04E-11,2.05E-12,301.7398534,51.33748767,3.55E-11,2.792960875, 
00:00:12,0.072645063,1.14E-11,2.66E-12,1.23E-11,1.19E-12,299.7367327,50.93089105,6.42E-11,1.663448625, 
00:00:13,0.111669022,1.03E-11,2.65E-12,1.30E-10,4.79E-12,200.686893,2.710629037,2.11E-10,1.630197411, 
00:00:14,0.217058644,1.28E-11,2.35E-12,5.94E-12,1.25E-12,283.8837078,50.74178438,3.26E-11,1.58203711, 
00:00:15,0.232881581,9.22E-12,2.53E-12,4.70E-11,5.81E-12,299.1043534,50.68804804,6.53E-11,1.790783802, 
00:00:16,0.129520355,1.15E-11,1.32E-12,3.62E-11,1.30E-12,297.5780051,51.22740839,1.00E-10,3.040596202, 
00:00:17,0.134884275,1.07E-11,7.54E-13,4.02E-11,1.47E-12,330.015016,51.08974939,4.84E-11,2.811560956, 
00:00:18,0.12091648,8.56E-12,2.37E-12,6.18E-12,1.01E-12,325.8940607,50.81832651,3.07E-11,1.672975853, 
00:00:19,0.145862897,4.46E-12,1.68E-12,7.33E-12,1.44E-12,333.2362969,51.15799473,4.34E-11,3.408290792, 
00:00:20,0.082590509,5.21E-12,3.08E-12,1.36E-10,8.87E-12,200.0220829,1.943831224,8.04E-10,1.581896605, 
00:00:21,0.243457439,1.13E-11,2.27E-12,3.27E-11,1.18E-12,123.3503898,1.667888725,1.50E-10,1.517041084, 
00:00:22,0.43775307,4.13E-12,2.30E-12,9.23E-11,1.98E-12,280.8381631,50.33546799,1.59E-10,1.669719085, 
00:00:23,0.459007858,5.59E-12,1.55E-12,2.76E-12,4.70E-13,300.0421667,50.87380529,2.44E-11,1.577602394, 
00:00:24,0.493181959,1.24E-11,2.42E-12,6.63E-11,3.20E-12,251.3449088,49.98895544,1.64E-10,1.636820258, 
