animal_id,day_month_year,location,stun_parameter,time_start,recovery_stage,time_to_stage,time_seconds_stage,stun_time,video_time_to_stage,weight,sex,cl,comments
1,09_02_23,germany,2_1,09:50,stage_2,,,,09:50,,,,
1,09_02_23,germany,2_1,09:50,stage_3,9,9,,09:50,,,,
1,09_02_23,germany,2_1,09:50,stage_4,92,92,,09:50,,,,
2,09_02_23,germany,2_1,10:00,stage_2,,,,10:00,,,,
2,09_02_23,germany,2_1,10:00,stage_3,24,24,,10:00,,,,
2,09_02_23,germany,2_1,10:00,stage_4,25,25,,10:00,,,,
3,09_02_23,germany,2_1,09:55,stage_2,,,,09:55,,,,
3,09_02_23,germany,2_1,09:55,stage_3,6,6,,09:55,,,,
3,09_02_23,germany,2_1,09:55,stage_4,10,10,,09:55,,,,
4,09_02_23,germany,2_1,10:05,stage_2,,,,10:05,,,,
4,09_02_23,germany,2_1,10:05,stage_3,2,2,,10:05,,,,
4,09_02_23,germany,2_1,10:05,stage_4,13,13,,10:05,,,,
5,09_02_23,germany,2_1,10:23,stage_2,,,,10:23,,,,
5,09_02_23,germany,2_1,10:23,stage_3,0,0,,10:23,,,,
5,09_02_23,germany,2_1,10:23,stage_4,8,8,,10:23,,,,
6,09_02_23,germany,2_1,,stage_2,,,,,,,,
6,09_02_23,germany,2_1,,stage_3,0,0,,,,,,
6,09_02_23,germany,2_1,,stage_4,5,5,,,,,,
7,09_02_23,germany,2_1,10:30,stage_2,,,,10:30,,,,
7,09_02_23,germany,2_1,10:30,stage_3,0,0,,10:30,,,,
7,09_02_23,germany,2_1,10:30,stage_4,8,8,,10:30,,,,
8,09_02_23,germany,2_1,,stage_2,,,,,,,,
8,09_02_23,germany,2_1,,stage_3,5,5,,,,,,
8,09_02_23,germany,2_1,,stage_4,13,13,,,,,,
9,09_02_23,germany,2_1,10:38,stage_2,,,,10:38,,,,
9,09_02_23,germany,2_1,10:38,stage_3,5,5,,10:38,,,,
9,09_02_23,germany,2_1,10:38,stage_4,7,7,,10:38,,,,
10,09_02_23,germany,2_1,,stage_2,,,,,,,,
10,09_02_23,germany,2_1,,stage_3,8,8,,,,,,
10,09_02_23,germany,2_1,,stage_4,26,26,,,,,,
11,09_02_23,germany,2.5_1,11:00,stage_2,,,,11:00,,,,
11,09_02_23,germany,2.5_1,11:00,stage_3,11,11,,11:00,,,,
11,09_02_23,germany,2.5_1,11:00,stage_4,12,12,,11:00,,,,
12,09_02_23,germany,2.5_1,,stage_2,,,,,,,,
12,09_02_23,germany,2.5_1,,stage_3,5,5,,,,,,
12,09_02_23,germany,2.5_1,,stage_4,28,28,,,,,,
13,09_02_23,germany,2.5_1,,stage_2,,,,,,,,
13,09_02_23,germany,2.5_1,,stage_3,10,10,,,,,,
13,09_02_23,germany,2.5_1,,stage_4,160,160,,,,,,
14,09_02_23,germany,2.5_1,,stage_2,,,,,,,,
14,09_02_23,germany,2.5_1,,stage_3,4,4,,,,,,
14,09_02_23,germany,2.5_1,,stage_4,16,16,,,,,,
15,09_02_23,germany,2.5_1,,stage_2,,,,,,,,
15,09_02_23,germany,2.5_1,,stage_3,16,16,,,,,,
15,09_02_23,germany,2.5_1,,stage_4,17,17,,,,,,
16,09_02_23,germany,2.5_1,11:55,stage_2,,,,,,,,
16,09_02_23,germany,2.5_1,11:55,stage_3,6,6,,,,,,
16,09_02_23,germany,2.5_1,11:55,stage_4,167,167,,,,,,
17,09_02_23,germany,2.5_1,,stage_2,,,,,,,,
17,09_02_23,germany,2.5_1,,stage_3,8,8,,,,,,
17,09_02_23,germany,2.5_1,,stage_4,83,83,,,,,,
18,09_02_23,germany,2.5_1,12:10,stage_2,,,,,,,,
18,09_02_23,germany,2.5_1,12:10,stage_3,7,7,,,,,,
18,09_02_23,germany,2.5_1,12:10,stage_4,17,17,,,,,,
19,09_02_23,germany,2.5_1,,stage_2,,,,,,,,
19,09_02_23,germany,2.5_1,,stage_3,12,12,,,,,,
19,09_02_23,germany,2.5_1,,stage_4,139,139,,,,,,
20,09_02_23,germany,2.5_1,12:20,stage_2,,,,,,,,
20,09_02_23,germany,2.5_1,12:20,stage_3,18,18,,,,,,
20,09_02_23,germany,2.5_1,12:20,stage_4,19,19,,,,,,
