 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.10894703,2.95E-14,1.54E-14,4.86E-12,1.15E-13,51.59864876,50.43032529,5.73E-12,1.910762872,Anaesthesia Stage 1 Start
00:00:01,0.112218435,2.05E-14,1.08E-14,1.15E-12,6.20E-14,51.58318965,50.33560165,1.53E-12,1.706008022,Anaesthesia Stage 1 Start
00:00:02,0.109123185,3.40E-14,2.40E-14,4.98E-13,5.51E-14,51.57658259,50.17188162,1.13E-12,1.70584686,Anaesthesia Stage 1 Start
00:00:03,0.102871867,8.34E-14,6.10E-14,2.08E-12,1.27E-13,51.58030628,2.554016886,3.50E-12,2.166773029,Anaesthesia Stage 1 Start
00:00:04,0.093096679,1.57E-13,7.58E-14,4.93E-13,2.20E-13,50.05813954,1.208670995,2.09E-12,1.559528966,Anaesthesia Stage 1 Start
00:00:05,0.083891562,7.19E-14,5.73E-14,6.92E-13,3.69E-14,51.51437941,1.069495573,2.24E-12,1.805480301,Anaesthesia Stage 1 Start
00:00:06,0.081431817,3.62E-14,2.52E-14,1.87E-13,6.60E-14,55.13643136,0.883635483,4.61E-13,1.64241655,Anaesthesia Stage 1 Start
00:00:07,0.077531385,3.98E-14,2.85E-14,6.80E-13,9.52E-14,40.45467938,0.984445958,1.22E-12,1.63331605,Anaesthesia Stage 1 Start
00:00:08,0.067436097,1.02E-13,2.97E-14,7.54E-13,1.78E-13,75.27076052,1.35896687,1.74E-12,1.755394736,Anaesthesia Stage 1 Start
00:00:09,0.0577405,1.87E-13,6.47E-14,1.35E-12,1.26E-13,101.942573,2.439045056,2.77E-12,2.411777797,Anaesthesia Stage 1 Start
00:00:10,0.050701092,2.01E-13,7.69E-14,3.91E-13,1.40E-13,187.251003,4.259084766,1.17E-12,4.070596079,Anaesthesia Stage 1 Start
00:00:11,0.044390481,3.96E-14,2.25E-14,1.03E-12,1.07E-13,46.03758213,1.718285486,1.91E-12,1.751878489,Anaesthesia Stage 1 Start
00:00:12,0.03851226,3.84E-14,1.57E-14,1.91E-12,9.98E-14,4.426634945,1.54108203,4.67E-12,1.782995369,Anaesthesia Stage 1 Start
00:00:13,0.036120423,8.15E-14,5.65E-14,1.33E-12,1.19E-13,98.89531355,2.327331138,2.18E-12,2.839908006,Anaesthesia Stage 1 Start
00:00:14,0.032316077,2.04E-13,2.05E-14,2.43E-12,2.90E-13,53.48777981,2.241180624,5.09E-12,2.716754991,Anaesthesia Stage 1 Start
00:00:15,0.023725801,8.48E-14,5.33E-14,2.86E-11,1.69E-13,2.893335848,1.523894567,6.12E-11,1.658102984,Anaesthesia Stage 1 Start
00:00:16,0.027901101,4.68E-14,3.93E-14,1.56E-12,9.56E-14,51.95879737,1.995660519,2.38E-12,2.167365938,Anaesthesia Stage 1 Start
00:00:17,0.022341215,3.53E-14,3.48E-14,7.97E-13,1.22E-13,127.5859179,2.494760281,2.10E-12,2.309231239,Anaesthesia Stage 1 Start
00:00:18,0.017790477,5.29E-14,3.01E-14,4.03E-13,4.82E-14,118.9326492,1.551431166,7.08E-13,1.593237514,Anaesthesia Stage 1 Start
00:00:19,0.014663603,2.99E-12,3.23E-13,1.59E-11,3.28E-12,96.83432486,3.594839304,3.59E-11,2.858642794,Anaesthesia Stage 1 Start
00:00:20,0.011531676,5.14E-14,2.53E-14,3.54E-12,1.56E-13,51.00332351,1.597188773,8.36E-12,1.591888983,Anaesthesia Stage 1 Start
