 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00.0,0.2943338,6.62E-11,5.89E-11,2.61E-08,2.21E-10,4.607311144,2.532163797,6.01E-09,2.551328322, 
00:00:00.5,0.428773876,3.52E-11,4.74E-11,2.44E-09,3.02E-10,2.919359133,1.37007431,4.42E-08,1.686579477, 
00:00:01.0,0.299486792,3.30E-11,5.95E-10,3.13E-09,6.28E-09,8.962297279,4.361236865,1.05E-08,5.257100522, 
00:00:01.5,0.170699806,3.57E-11,1.31E-10,5.09E-09,2.64E-10,10.5560601,2.789093657,9.37E-09,2.81573151, 
00:00:02.0,0.340157804,5.75E-11,2.50E-10,4.63E-09,5.83E-10,5.889867001,2.684679377,8.84E-09,2.691929982, 
00:00:02.5,0.715088915,5.01E-11,1.45E-10,3.14E-09,3.99E-10,3.298079056,1.459546508,2.24E-08,1.765724723, 
00:00:03.0,0.528038665,2.62E-11,3.68E-11,8.44E-09,6.93E-10,3.776806423,1.676394804,2.40E-08,1.941515646, 
00:00:03.5,0.450506071,1.15E-11,9.33E-11,5.31E-09,1.06E-09,3.797832244,1.529022413,4.75E-08,1.828954691, 
00:00:04.0,0.241430702,2.89E-11,3.49E-10,4.45E-09,1.70E-09,8.756024357,2.437634782,6.26E-08,2.674504721, 
00:00:04.5,2.42973231,1.70E-10,1.02E-09,4.15E-07,3.44E-08,4.381735034,1.943500884,9.26E-07,2.235282579, 
00:00:05.0,2.604259407,3.02E-11,1.30E-10,1.44E-08,1.49E-09,2.925135282,1.406829762,4.36E-08,1.721337634, 
00:00:05.5,3.134652886,5.76E-10,1.60E-09,5.67E-08,7.71E-09,3.599904928,1.487251925,1.87E-07,1.795786511, 
00:00:06.0,3.411151564,8.81E-12,5.96E-11,1.07E-08,4.84E-10,2.863731577,1.374424876,7.20E-08,1.694234946, 
00:00:06.5,1.512663151,6.57E-09,8.69E-09,1.20E-07,1.51E-08,11.5964444,1.371839634,8.66E-08,1.699031092,in recovery
00:00:07.0,2.815044876,1.22E-09,1.26E-09,6.31E-07,3.15E-08,4.497187722,1.971864316,1.36E-06,2.282117631,1
00:00:07.5,1.190702607,2.04E-11,1.92E-10,8.07E-09,3.77E-10,2.886547807,1.380630701,7.79E-09,1.699102592,1
00:00:08.0,0.882724434,1.70E-11,6.14E-11,4.22E-09,1.19E-10,2.752610973,1.295613942,9.53E-09,1.630064542,1
00:00:08.5,0.992811876,8.72E-12,7.24E-11,1.75E-09,1.61E-10,2.899919081,1.385177664,3.41E-09,1.703386819,1
00:00:09.0,0.926950036,1.59E-11,8.65E-11,7.01E-09,7.73E-10,3.408667138,1.381008146,1.89E-08,1.713554975,1
00:00:09.5,1.380456613,4.92E-10,3.32E-09,1.98E-07,3.14E-08,6.129003928,2.00033806,2.44E-07,2.274477122,1
00:00:10.0,0.861312212,1.82E-12,1.31E-11,2.94E-08,6.79E-11,3.842728268,2.454270694,4.13E-08,2.45299087,1
00:00:10.5,1.530322799,7.14E-13,1.04E-12,8.38E-11,8.39E-12,2.843169685,1.36621077,8.76E-09,1.687280506,1
00:00:11.0,2.098019964,1.75E-13,5.20E-14,1.24E-10,1.96E-12,2.79729874,1.342626339,1.89E-09,1.668502358,1
00:00:11.5,2.186308306,1.20E-13,6.93E-14,5.65E-11,3.74E-12,2.773972824,1.329626724,1.03E-10,1.658446647,1
