 ,Raw EEG2,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG2,Raw EEG2,All 0.5-32Hz,Raw EEG2,Raw EEG2
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.09203633,1.30E-10,1.07E-10,5.26E-09,4.99E-10,49.98057484,2.689772591,8.62E-09,2.622110121,613 in recovery
00:00:01,0.623940148,5.70E-09,9.66E-09,4.30E-07,4.36E-08,5.323523711,3.00645738,7.85E-07,3.008518448,613 in recovery
00:00:02,0.508671611,1.50E-10,4.12E-10,4.12E-08,4.29E-09,4.77988332,1.527715814,1.29E-07,1.757617682,613 in recovery
00:00:03,0.046325539,4.21E-12,6.74E-12,5.01E-11,1.50E-11,51.24498863,2.779362294,5.41E-10,1.773073185,613 in recovery
00:00:04,0.039329026,1.24E-12,3.38E-12,7.43E-11,2.80E-11,50.93484854,4.271168823,1.64E-10,3.648305742,613 in recovery
00:00:05,0.044489287,9.14E-13,3.71E-13,2.37E-11,1.01E-12,50.97657704,1.869027878,6.84E-11,1.736817402,613 in recovery
00:00:06,0.039715602,3.09E-13,3.47E-13,8.15E-12,1.30E-12,50.76422246,3.142838985,1.64E-11,3.037380873,613 in recovery
00:00:07,0.027325165,1.61E-13,1.81E-13,1.16E-11,1.10E-12,49.69322176,3.28294594,1.86E-11,3.21089962,613 in recovery
00:00:08,0.031159839,1.67E-13,2.37E-13,9.91E-12,1.28E-12,13.9552316,3.338475555,1.76E-11,3.305184144,613 in recovery
00:00:09,0.032697821,3.02E-13,1.84E-13,6.80E-12,5.89E-13,51.14589664,3.121280022,1.28E-11,3.006011454,613 in recovery
00:00:10,0.041762389,2.00E-13,1.63E-13,2.32E-11,1.36E-12,4.232502342,1.527501412,5.65E-11,1.734769942,613 in recovery
00:00:11,0.042276302,3.28E-13,1.34E-13,2.84E-12,5.48E-13,86.57350927,3.247790087,8.82E-12,3.248317574,613 in recovery
00:00:12,0.040169793,2.04E-13,1.17E-12,2.83E-11,2.46E-12,2.678874915,1.553617819,1.82E-10,1.547982011,613 in recovery
00:00:13,0.028694307,2.64E-13,3.69E-13,1.65E-11,7.02E-12,5.616371996,1.706606875,4.74E-11,1.695427278,613 in recovery
00:00:14,0.022918079,2.95E-13,3.68E-13,7.38E-12,1.36E-12,5.552566839,1.667267004,1.87E-11,1.647542754,613 in recovery
00:00:15,0.028976808,2.92E-13,4.08E-13,1.25E-11,2.29E-12,11.35726124,3.325961458,2.68E-11,3.289495539,613 in recovery
00:00:16,0.031536516,5.51E-13,4.33E-13,1.66E-11,4.42E-12,9.162979829,3.71462985,3.71E-11,3.713690759,613 in recovery
00:00:17,0.028833397,3.39E-13,3.43E-13,1.58E-11,2.69E-12,50.30834704,3.538642938,2.99E-11,3.428834402,613 in recovery
00:00:18,0.079260875,4.00E-12,9.51E-12,1.05E-09,4.46E-11,51.13272071,2.709863614,2.04E-09,2.001384603,613 in recovery
00:00:19,0.098544129,3.08E-12,2.64E-11,4.28E-09,1.74E-10,4.2906224,1.781143794,1.12E-08,1.832886335,613 in recovery
00:00:20,0.062188102,1.15E-11,4.25E-12,1.39E-09,1.99E-11,51.46479396,2.052190144,2.00E-09,1.995259521,613 in recovery
00:00:21,0.042655153,1.46E-11,2.93E-12,2.28E-10,1.45E-11,51.40917949,1.676322904,9.49E-10,1.654370754,613 in recovery
00:00:22,0.038783585,4.31E-13,3.15E-13,3.78E-11,4.40E-12,50.5714303,1.685481829,1.25E-10,1.737289513,613 in recovery
