 ,Raw EEG2,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG2,Raw EEG2,All 0.5-32Hz,Raw EEG2,Raw EEG2
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.299987773,8.48E-12,1.76E-11,4.26E-09,5.40E-11,2.893842129,1.762895411,1.24E-08,1.834440109,616 back in recovery
00:00:01,0.171640096,7.44E-12,2.35E-11,2.00E-09,2.52E-11,2.844900689,1.485331552,6.13E-09,1.587184599,616 back in recovery
00:00:02,0.031501204,1.05E-12,4.20E-12,3.48E-10,1.31E-11,3.771989157,1.454981598,3.71E-09,1.651665383,616 back in recovery
00:00:03,1.54343289,5.13E-08,1.61E-07,7.76E-07,1.29E-07,12.35677014,2.507390713,2.01E-06,2.527805514,616 back in recovery
00:00:04,0.312466884,4.04E-12,1.92E-11,4.14E-09,9.01E-11,2.790450312,1.375772798,3.19E-08,1.59448577,616 back in recovery
00:00:05,0.047077886,9.63E-13,5.38E-12,2.67E-10,9.31E-12,49.96501981,2.053180571,1.04E-09,2.079401034,616 back in recovery
00:00:06,0.134535363,1.25E-12,6.91E-13,1.31E-10,6.07E-12,3.569028553,1.422989041,3.48E-10,1.607895989,616 back in recovery
00:00:07,0.13894635,7.55E-13,4.79E-13,1.10E-11,8.85E-13,51.01695037,1.671065078,6.91E-11,1.563958217,616 back in recovery
00:00:08,0.158852406,3.34E-13,1.44E-13,3.79E-11,6.58E-13,50.31234578,1.502074612,1.10E-10,1.532781971,616 back in recovery
00:00:09,0.118138537,2.87E-13,1.91E-13,8.81E-12,8.59E-13,5.647965177,1.42133417,4.62E-11,1.595161112,616 back in recovery
00:00:10,0.086596114,2.71E-13,3.00E-13,6.57E-11,3.24E-12,4.692018464,1.821907097,1.59E-10,1.812966569,616 back in recovery
00:00:11,0.069214632,2.53E-13,3.04E-13,3.30E-11,1.52E-12,5.194148384,1.411373963,3.71E-11,1.652715491,616 back in recovery
00:00:12,0.06706392,3.05E-13,1.33E-13,4.28E-11,4.39E-12,2.909658642,1.661239109,1.48E-10,1.651160772,616 back in recovery
00:00:13,0.090054117,3.36E-13,1.45E-13,2.11E-10,3.33E-12,3.530073538,2.170086775,3.25E-10,2.207025728,616 back in recovery
00:00:14,0.063311733,3.60E-13,2.30E-13,1.05E-10,1.77E-12,3.210198309,1.6297028,2.13E-10,1.756557666,616 back in recovery
00:00:15,0.091928498,2.84E-13,2.22E-13,6.81E-11,2.11E-12,2.646844095,1.426622879,2.04E-10,1.539389084,616 back in recovery
00:00:16,0.060818514,3.23E-13,3.24E-13,9.49E-11,1.45E-12,2.868062168,1.613581222,1.42E-10,1.617449518,616 back in recovery
00:00:17,0.053084185,2.39E-13,5.39E-13,5.18E-10,5.39E-12,3.551142522,2.163806793,1.86E-09,2.15210826,616 back in recovery
00:00:18,0.239003146,7.77E-13,5.95E-12,4.48E-09,1.13E-10,2.686954778,1.451790456,2.13E-08,1.571703854,616 back in recovery
00:00:19,0.316804455,2.39E-12,6.13E-12,6.07E-10,2.29E-11,3.710206627,1.637098379,3.44E-09,1.638629795,616 back in recovery
00:00:20,0.346797968,6.73E-13,2.57E-13,5.82E-10,7.53E-12,2.440405487,1.506074231,4.71E-09,1.509862142,616 back in recovery
00:00:21,0.423776439,2.57E-13,1.45E-13,4.09E-11,1.87E-12,2.715770176,1.486626248,1.01E-10,1.567390657,616 back in recovery
00:00:22,0.25343176,1.46E-12,1.56E-13,1.89E-10,3.53E-12,3.668513846,1.514120681,2.59E-10,1.589156662,616 back in recovery
