 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.052000989,6.41E-12,2.17E-12,1.41E-10,1.54E-11,243.8879443,2.3329307,4.77E-10,2.001864482,lots of movement
00:00:01,0.080701943,5.06E-12,2.87E-12,6.87E-11,8.76E-12,249.1804548,1.756964322,2.79E-10,1.559317908,lots of movement
00:00:02,0.019358795,3.94E-12,4.18E-13,4.05E-12,1.58E-12,313.7722662,50.70731226,1.90E-11,1.606802963,lots of movement
00:00:03,0.022883489,2.47E-12,3.03E-13,1.34E-12,2.48E-13,343.7497205,51.5284556,6.02E-12,1.6726216,lots of movement
00:00:04,0.038183137,2.37E-12,5.75E-13,2.92E-12,3.60E-13,358.1800895,51.64497086,1.30E-11,1.681322247,lots of movement
00:00:05,0.037134176,7.88E-13,4.41E-13,5.32E-13,1.22E-12,350.5540458,51.65576937,4.18E-12,2.410751772,lots of movement
00:00:06,0.026321137,2.77E-12,1.67E-12,3.90E-13,2.65E-13,314.0518756,51.07778776,7.10E-12,12.04887866,lots of movement
00:00:07,0.028361382,4.34E-12,6.14E-13,3.23E-12,6.50E-13,350.0023561,51.47447633,1.51E-11,2.880720959,lots of movement
00:00:08,0.022497017,7.03E-12,3.04E-13,3.19E-12,2.52E-12,300.6812959,51.35119473,1.72E-11,4.582119003,lots of movement
00:00:09,0.025195842,3.07E-12,3.15E-13,1.02E-12,4.59E-13,301.1038941,51.3076624,6.08E-12,3.282807192,lots of movement
00:00:10,0.03430803,3.59E-12,7.08E-13,3.22E-12,4.47E-13,328.3153403,51.21395868,9.48E-12,9.38754136,lots of movement
00:00:11,0.030525694,2.26E-12,1.68E-13,6.56E-13,5.72E-13,302.5894704,51.37863885,4.59E-12,6.335190815,lots of movement
00:00:12,0.030091793,2.13E-12,1.06E-12,1.02E-11,8.11E-13,300.2520103,50.99553211,4.70E-11,1.698263152,lots of movement
00:00:13,0.079179063,5.30E-12,1.21E-12,6.77E-11,1.32E-12,324.3766094,50.81304386,9.37E-11,2.263875006,lots of movement
00:00:14,0.031258986,3.32E-12,7.54E-13,8.73E-12,1.09E-12,301.3206374,50.91854159,4.51E-11,2.388537632,lots of movement
00:00:15,0.023566037,4.13E-12,1.48E-12,3.63E-12,8.88E-13,328.125656,50.88912062,1.95E-11,1.597007823,lots of movement
00:00:16,0.025580109,2.19E-12,3.61E-13,2.64E-12,1.31E-12,299.6593293,50.99198441,1.14E-11,3.579132379,lots of movement
00:00:17,0.020883532,3.17E-12,1.38E-13,1.26E-12,7.93E-13,286.146513,51.07391168,9.33E-12,3.062964038,lots of movement
00:00:18,0.022370751,2.93E-12,2.93E-13,4.01E-13,4.25E-13,350.3822793,51.32945581,6.25E-12,13.76417719,lots of movement
00:00:19,0.022967449,2.79E-12,6.03E-13,1.88E-12,1.31E-12,254.4895165,50.96002381,1.07E-11,7.188331835,lots of movement
00:00:20,0.023903163,2.48E-12,2.87E-13,4.13E-12,2.52E-13,300.8359218,51.10030045,1.56E-11,1.921462543,lots of movement
00:00:21,0.024090398,3.65E-12,6.27E-13,1.58E-12,5.45E-13,261.6656043,50.99789295,7.62E-12,14.00050236,lots of movement
00:00:22,0.024783139,3.09E-12,4.23E-13,6.03E-13,7.47E-13,301.3208293,51.28740411,9.64E-12,5.154298201,lots of movement
00:00:23,0.024724699,2.67E-12,7.81E-13,3.41E-11,3.02E-12,250.4029513,50.63115428,8.47E-11,1.862316374,lots of movement
